Truth,Decoded
Salve quanto costa quell articolo,pero io
E in offerta costa dieci euro,io a certo
Tutto bene grazie,io io
Prendiamo un caffe al bar,io io io
"Certo volentieri, io lo prendero macchiato",io a e io
A che ora arriva il pullman,a a io
Dovrebbe arrivare tra qualche minuto,io a euro
Quanto costa il biglietto,io io io
Purtroppo non lo so pero potresti chiedere all autista,pero io io il io
Va bene grazie lo stesso,io io
Prego,io
Perfetto vorrei comprarne due.,pero io
Certo ecco a lei vuole un sacchetto,io a io io
Si grazie e arrivederci,io io
Le auguro una buona giornata,puoao
Buongiorno io sono Mario,io
Buonasera io sono Mario,io io
Piacere Luigi come stai,pero
Tutto bene tu,io
