Truth,Decoded
Salve quanto costa quell articolo,ora io si si io a sono
E in offerta costa dieci euro,certo a a io io si io euro
Tutto bene grazie,io a a rialo
Prendiamo un caffe al bar,io a a io si a aeloao
"Certo volentieri, io lo prendero macchiato",e un a si io io
A che ora arriva il pullman,io a io si relago
Dovrebbe arrivare tra qualche minuto,io a si rire lo
Quanto costa il biglietto,certo si iriao
Purtroppo non lo so pero potresti chiedere all autista,io a io io lo
Va bene grazie lo stesso,io io ora aealao
Prego,io a sono
Perfetto vorrei comprarne due.,certo a a si io si io
Certo ecco a lei vuole un sacchetto,certo a io si ileloago
Si grazie e arrivederci,lo a a tu si aialoso
Le auguro una buona giornata,io a si rivlo
Buongiorno io sono Mario,certo a a io io io a iaiai
Buonasera io sono Mario,certo si io
Piacere Luigi come stai,certo a io si io a aloao
Tutto bene tu,io a a io
