Truth,Decoded
Salve quanto costa quell articolo,e io io io
E in offerta costa dieci euro,e a a io
Tutto bene grazie,io mario
Prendiamo un caffe al bar,pero a io rato
"Certo volentieri, io lo prendero macchiato",io a io io
A che ora arriva il pullman,ora io
Dovrebbe arrivare tra qualche minuto,io a ora io
Quanto costa il biglietto,io io io
Purtroppo non lo so pero potresti chiedere all autista,pero io io io le e io
Va bene grazie lo stesso,pero lo
Prego,io
Perfetto vorrei comprarne due.,pero tutto
Certo ecco a lei vuole un sacchetto,io a a io
Si grazie e arrivederci,io rato
Le auguro una buona giornata,pero io
Buongiorno io sono Mario,io mario
Buonasera io sono Mario,pero io
Piacere Luigi come stai,e io
Tutto bene tu,pero
