Truth,Decoded
Salve quanto costa quell articolo,e io io so si io
E in offerta costa dieci euro,e a e e sono
Tutto bene grazie,io bereato
Prendiamo un caffe al bar,e io io io
"Certo volentieri, io lo prendero macchiato",io si io come io
A che ora arriva il pullman,e ora io
Dovrebbe arrivare tra qualche minuto,e e arara al io
Quanto costa il biglietto,certo io egeato
Purtroppo non lo so pero potresti chiedere all autista,pero io io io io e si che il tutto
Va bene grazie lo stesso,e bene lo
Prego,euro
Perfetto vorrei comprarne due.,preorere io
Certo ecco a lei vuole un sacchetto,pero ora mario a io
Si grazie e arrivederci,due certo
Le auguro una buona giornata,tu buona io io
Buongiorno io sono Mario,io io mario
Buonasera io sono Mario,pero e io
Piacere Luigi come stai,e e io stai
Tutto bene tu,tutto
