Truth,Decoded
Salve quanto costa quell articolo,e io io
E in offerta costa dieci euro,e a certo
Tutto bene grazie,io rato
Prendiamo un caffe al bar,pero a rato
"Certo volentieri, io lo prendero macchiato",io e io
A che ora arriva il pullman,ora io
Dovrebbe arrivare tra qualche minuto,io a ora io
Quanto costa il biglietto,io io io io
Purtroppo non lo so pero potresti chiedere all autista,ora io io le le e io
Va bene grazie lo stesso,io reaeo
Prego,io
Perfetto vorrei comprarne due.,preore tutto
Certo ecco a lei vuole un sacchetto,io io io
Si grazie e arrivederci,a rato
Le auguro una buona giornata,pero io
Buongiorno io sono Mario,puoai
Buonasera io sono Mario,pero io
Piacere Luigi come stai,due io
Tutto bene tu,tutto
