Truth,Decoded
Salve quanto costa quell articolo,euro io tu io stai
E in offerta costa dieci euro,un io
Tutto bene grazie,stai io
Prendiamo un caffe al bar,io si si si io
"Certo volentieri, io lo prendero macchiato",euro e io
A che ora arriva il pullman,si io io
Dovrebbe arrivare tra qualche minuto,io a io io si io
Quanto costa il biglietto,io io
Purtroppo non lo so pero potresti chiedere all autista,due euro io
Va bene grazie lo stesso,io si si io
Prego,rteao
Perfetto vorrei comprarne due.,io io bar
Certo ecco a lei vuole un sacchetto,a io si io io
Si grazie e arrivederci,tu tu io pero
Le auguro una buona giornata,tu e io
Buongiorno io sono Mario,tra a a
Buonasera io sono Mario,io si io
Piacere Luigi come stai,rtrtri io io
Tutto bene tu,a io
