Truth,Decoded
Salve quanto costa quell articolo,a tu a a
E in offerta costa dieci euro,io ora
Tutto bene grazie,io io
Prendiamo un caffe al bar,io io io
"Certo volentieri, io lo prendero macchiato",io si io
A che ora arriva il pullman,io releo
Dovrebbe arrivare tra qualche minuto,io a bar io
Quanto costa il biglietto,io bar
Purtroppo non lo so pero potresti chiedere all autista,un a io io io a io
Va bene grazie lo stesso,a io io a io
Prego,sono
Perfetto vorrei comprarne due.,io io
Certo ecco a lei vuole un sacchetto,io a a io
Si grazie e arrivederci,io a io
Le auguro una buona giornata,io riri io
Buongiorno io sono Mario,sono
Buonasera io sono Mario,io rirerao
Piacere Luigi come stai,io si a io
Tutto bene tu,io io
