Truth,Decoded
Salve quanto costa quell articolo,e io si io io
E in offerta costa dieci euro,rererie certo
Tutto bene grazie,un stai
Prendiamo un caffe al bar,pretra a aereati
"Certo volentieri, io lo prendero macchiato",lei io e certo
A che ora arriva il pullman,prerail bene
Dovrebbe arrivare tra qualche minuto,e e arare euro
Quanto costa il biglietto,retr io ireato
Purtroppo non lo so pero potresti chiedere all autista,ora io io io e ererireliate
Va bene grazie lo stesso,a bene rireto
Prego,io
Perfetto vorrei comprarne due.,reomreto
Certo ecco a lei vuole un sacchetto,e a aigre io
Si grazie e arrivederci,e e arriva
Le auguro una buona giornata,e a a io
Buongiorno io sono Mario,reoeato
Buonasera io sono Mario,luigi io certo
Piacere Luigi come stai,preori e stai
Tutto bene tu,io io
