Truth,Decoded
Salve quanto costa quell articolo,e io so io io
E in offerta costa dieci euro,e e e e io
Tutto bene grazie,e reati
Prendiamo un caffe al bar,e io io io
"Certo volentieri, io lo prendero macchiato",io oiroromec io
A che ora arriva il pullman,e al io
Dovrebbe arrivare tra qualche minuto,bene arara al io
Quanto costa il biglietto,lei io certo
Purtroppo non lo so pero potresti chiedere all autista,e io io io io e si e che io
Va bene grazie lo stesso,e e e lo
Prego,euro
Perfetto vorrei comprarne due.,preorere io
Certo ecco a lei vuole un sacchetto,pero a agea a io
Si grazie e arrivederci,due certo
Le auguro una buona giornata,tu un io io
Buongiorno io sono Mario,uoatio
Buonasera io sono Mario,pero e io
Piacere Luigi come stai,preore stai
Tutto bene tu,tutto
