Truth,Decoded
Salve quanto costa quell articolo,bar io
E in offerta costa dieci euro,bar a io certo
Tutto bene grazie,io a sono
Prendiamo un caffe al bar,io e io si io
"Certo volentieri, io lo prendero macchiato",io io e io io
A che ora arriva il pullman,io raeae io io
Dovrebbe arrivare tra qualche minuto,a si io
Quanto costa il biglietto,si io mario
Purtroppo non lo so pero potresti chiedere all autista,stai io io
Va bene grazie lo stesso,pero si a io
Prego,io io
Perfetto vorrei comprarne due.,erioi rato
Certo ecco a lei vuole un sacchetto,ora a io
Si grazie e arrivederci,io si io
Le auguro una buona giornata,io releoeo
Buongiorno io sono Mario,io io
Buonasera io sono Mario,io io io
Piacere Luigi come stai,io io
Tutto bene tu,pero
