Truth,Decoded
Salve quanto costa quell articolo,e io io io io
E in offerta costa dieci euro,e a e certo
Tutto bene grazie,io rato
Prendiamo un caffe al bar,io a io io
"Certo volentieri, io lo prendero macchiato",io io a io a io
A che ora arriva il pullman,e ora io
Dovrebbe arrivare tra qualche minuto,e a ora al io
Quanto costa il biglietto,io io io
Purtroppo non lo so pero potresti chiedere all autista,io io io io le lo e io
Va bene grazie lo stesso,io gralelio
Prego,io
Perfetto vorrei comprarne due.,preore euro
Certo ecco a lei vuole un sacchetto,io a a a a io
Si grazie e arrivederci,io arato
Le auguro una buona giornata,tu io io io
Buongiorno io sono Mario,io io
Buonasera io sono Mario,pero io
Piacere Luigi come stai,due io io
Tutto bene tu,tutto
