Truth,Decoded
Salve quanto costa quell articolo,e io io io io
E in offerta costa dieci euro,e e e sono
Tutto bene grazie,io e rato
Prendiamo un caffe al bar,e a io rato
"Certo volentieri, io lo prendero macchiato",reori riroeo a io
A che ora arriva il pullman,e al io
Dovrebbe arrivare tra qualche minuto,ora ora al io
Quanto costa il biglietto,io io certo
Purtroppo non lo so pero potresti chiedere all autista,pero io io io le lo e tutto
Va bene grazie lo stesso,e bene io
Prego,euro
Perfetto vorrei comprarne due.,preoreuto
Certo ecco a lei vuole un sacchetto,io a io a io
Si grazie e arrivederci,due certo
Le auguro una buona giornata,puauon certo
Buongiorno io sono Mario,io mario
Buonasera io sono Mario,e e io
Piacere Luigi come stai,due io a
Tutto bene tu,tutto
