Truth,Decoded
Salve quanto costa quell articolo,e e e si io
E in offerta costa dieci euro,e certo
Tutto bene grazie,io rato
Prendiamo un caffe al bar,pero a io io
"Certo volentieri, io lo prendero macchiato",reori e e io
A che ora arriva il pullman,a a a io
Dovrebbe arrivare tra qualche minuto,bar e raeto
Quanto costa il biglietto,io io io certo
Purtroppo non lo so pero potresti chiedere all autista,pero io io lo e a io
Va bene grazie lo stesso,pero reaeo
Prego,io
Perfetto vorrei comprarne due.,preore io
Certo ecco a lei vuole un sacchetto,io bar io io
Si grazie e arrivederci,e rato
Le auguro una buona giornata,buona io io
Buongiorno io sono Mario,io io mario
Buonasera io sono Mario,pero pero
Piacere Luigi come stai,pero io
Tutto bene tu,pero
