Truth,Decoded
Salve quanto costa quell articolo,a a tu e a a io
E in offerta costa dieci euro,e si geaty io
Tutto bene grazie,e si a a io
Prendiamo un caffe al bar,e io io a io
"Certo volentieri, io lo prendero macchiato",tu tu io
A che ora arriva il pullman,e un si io io
Dovrebbe arrivare tra qualche minuto,e a bene a e emelo
Quanto costa il biglietto,e ora bileaeao
Purtroppo non lo so pero potresti chiedere all autista,un a a a e io
Va bene grazie lo stesso,va tu e a a eaeso
Prego,io ladaio
Perfetto vorrei comprarne due.,e a si si io
Certo ecco a lei vuole un sacchetto,e io si le io
Si grazie e arrivederci,lo a tu a a io
Le auguro una buona giornata,e a si a io
Buongiorno io sono Mario,a a a a aiae si
Buonasera io sono Mario,bene a aluaeio
Piacere Luigi come stai,e a e io
Tutto bene tu,e a a mario
