Truth,Decoded
Salve quanto costa quell articolo,io a a a io
E in offerta costa dieci euro,bene e reiati
Tutto bene grazie,io io
Prendiamo un caffe al bar,ora a a pero
"Certo volentieri, io lo prendero macchiato",e io a a io
A che ora arriva il pullman,tra io
Dovrebbe arrivare tra qualche minuto,io e bar rato
Quanto costa il biglietto,io io io
Purtroppo non lo so pero potresti chiedere all autista,tu io io io e erereao
Va bene grazie lo stesso,e io bene rato
Prego,stai
Perfetto vorrei comprarne due.,rtoro
Certo ecco a lei vuole un sacchetto,io a a io
Si grazie e arrivederci,io ararato
Le auguro una buona giornata,io si io
Buongiorno io sono Mario,io io
Buonasera io sono Mario,rereao
Piacere Luigi come stai,ora certo
Tutto bene tu,io io
