Truth,Decoded
Salve quanto costa quell articolo,a io io
E in offerta costa dieci euro,io e certo
Tutto bene grazie,io io
Prendiamo un caffe al bar,pero a io
"Certo volentieri, io lo prendero macchiato",io a io
A che ora arriva il pullman,raeao
Dovrebbe arrivare tra qualche minuto,io e a io
Quanto costa il biglietto,io io
Purtroppo non lo so pero potresti chiedere all autista,tu io io oeleo
Va bene grazie lo stesso,e io il io
Prego,io
Perfetto vorrei comprarne due.,sono
Certo ecco a lei vuole un sacchetto,io rato
Si grazie e arrivederci,io rarato
Le auguro una buona giornata,ora io
Buongiorno io sono Mario,sono
Buonasera io sono Mario,prego
Piacere Luigi come stai,sono io
Tutto bene tu,io
