Truth,Decoded
Salve quanto costa quell articolo,bene e in
E in offerta costa dieci euro,pero il a un
Tutto bene grazie,pero il in
Prendiamo un caffe al bar,bene il in
"Certo volentieri, io lo prendero macchiato",place e io a
A che ora arriva il pullman,play a e e a
Dovrebbe arrivare tra qualche minuto,bene il a lo non
Quanto costa il biglietto,pero il in
Purtroppo non lo so pero potresti chiedere all autista,bene lo a io
Va bene grazie lo stesso,place il e e
Prego,plac lo a tu a
Perfetto vorrei comprarne due.,bene lo io e
Certo ecco a lei vuole un sacchetto,e a lo e a
Si grazie e arrivederci,bene lo a un
Le auguro una buona giornata,play a e io
Buongiorno io sono Mario,bene a a a a a
Buonasera io sono Mario,bene lo a a
Piacere Luigi come stai,bene lo a
Tutto bene tu,bene lo a
