Truth,Decoded
Salve quanto costa quell articolo,sono io
E in offerta costa dieci euro,io a io io
Tutto bene grazie,a a io
Prendiamo un caffe al bar,io a io io
"Certo volentieri, io lo prendero macchiato",io si e io
A che ora arriva il pullman,a a a io
Dovrebbe arrivare tra qualche minuto,io a ruaoao
Quanto costa il biglietto,io io io si io
Purtroppo non lo so pero potresti chiedere all autista,pero io io lo lo io
Va bene grazie lo stesso,io a io
Prego,io
Perfetto vorrei comprarne due.,pero io
Certo ecco a lei vuole un sacchetto,io a io io
Si grazie e arrivederci,io rato
Le auguro una buona giornata,uoalo io
Buongiorno io sono Mario,io io
Buonasera io sono Mario,io io
Piacere Luigi come stai,pero
Tutto bene tu,io
