Truth,Decoded
Salve quanto costa quell articolo,pero rato
E in offerta costa dieci euro,io a pero io
Tutto bene grazie,io rereao
Prendiamo un caffe al bar,io a si a io
"Certo volentieri, io lo prendero macchiato",io a e io
A che ora arriva il pullman,a e bene io
Dovrebbe arrivare tra qualche minuto,io a io
Quanto costa il biglietto,a io io io
Purtroppo non lo so pero potresti chiedere all autista,pero io io io lo io
Va bene grazie lo stesso,io reaeo
Prego,io
Perfetto vorrei comprarne due.,pero io
Certo ecco a lei vuole un sacchetto,io a a io
Si grazie e arrivederci,io rirato
Le auguro una buona giornata,oaeoeo
Buongiorno io sono Mario,io
Buonasera io sono Mario,io io
Piacere Luigi come stai,pero io
Tutto bene tu,io
