Truth,Decoded
Salve quanto costa quell articolo,pero io si io
E in offerta costa dieci euro,e a e so
Tutto bene grazie,io rato
Prendiamo un caffe al bar,pero a io rato
"Certo volentieri, io lo prendero macchiato",preori io lo io
A che ora arriva il pullman,prorae io
Dovrebbe arrivare tra qualche minuto,io a ora io
Quanto costa il biglietto,certo io io io
Purtroppo non lo so pero potresti chiedere all autista,io io io io le le che io
Va bene grazie lo stesso,pero aeleo
Prego,puoio
Perfetto vorrei comprarne due.,preore tutto
Certo ecco a lei vuole un sacchetto,certo a io a io
Si grazie e arrivederci,io arato
Le auguro una buona giornata,puoao io
Buongiorno io sono Mario,io io mario
Buonasera io sono Mario,io pero
Piacere Luigi come stai,io e io
Tutto bene tu,puoeo
