Truth,Decoded
Salve quanto costa quell articolo,io si si stai
E in offerta costa dieci euro,io a a
Tutto bene grazie,io io
Prendiamo un caffe al bar,io a a io
"Certo volentieri, io lo prendero macchiato",io a io
A che ora arriva il pullman,rtraeo
Dovrebbe arrivare tra qualche minuto,io a rararo
Quanto costa il biglietto,a io io
Purtroppo non lo so pero potresti chiedere all autista,io io io oerir io
Va bene grazie lo stesso,io io il a io
Prego,io
Perfetto vorrei comprarne due.,pero
Certo ecco a lei vuole un sacchetto,io a a io
Si grazie e arrivederci,pero io bar rato
Le auguro una buona giornata,roroiro
Buongiorno io sono Mario,sono
Buonasera io sono Mario,reroao
Piacere Luigi come stai,sono io
Tutto bene tu,io io
