Truth,Decoded
Salve quanto costa quell articolo,certo eteaia euro
E in offerta costa dieci euro,a a a e io
Tutto bene grazie,a e a aealo a
Prendiamo un caffe al bar,a aoago
"Certo volentieri, io lo prendero macchiato",rteieialao
A che ora arriva il pullman,si rirualoago
Dovrebbe arrivare tra qualche minuto,io a gieririae lo
Quanto costa il biglietto,certo si io si io
Purtroppo non lo so pero potresti chiedere all autista,a a e a a gaiai
Va bene grazie lo stesso,tra rire lo
Prego,utbeleoao
Perfetto vorrei comprarne due.,certo a a bene mario
Certo ecco a lei vuole un sacchetto,tu giaria lo
Si grazie e arrivederci,a a aealoao
Le auguro una buona giornata,e girelo
Buongiorno io sono Mario,teialoago
Buonasera io sono Mario,a e aealorago
Piacere Luigi come stai,a geaealoao
Tutto bene tu,iutbeaoso
