Truth,Decoded
Salve quanto costa quell articolo,e io io si io
E in offerta costa dieci euro,pero bene e io
Tutto bene grazie,pero e io
Prendiamo un caffe al bar,pero a certo
"Certo volentieri, io lo prendero macchiato",pero io a certo
A che ora arriva il pullman,prerae io
Dovrebbe arrivare tra qualche minuto,e e ora rlmuto
Quanto costa il biglietto,pero io certo
Purtroppo non lo so pero potresti chiedere all autista,ora io io io e erererelate
Va bene grazie lo stesso,e io bene certo
Prego,certo
Perfetto vorrei comprarne due.,bene certo
Certo ecco a lei vuole un sacchetto,e a agre io
Si grazie e arrivederci,pero ariraeto
Le auguro una buona giornata,e si io io
Buongiorno io sono Mario,io io
Buonasera io sono Mario,un io io
Piacere Luigi come stai,pero a stai
Tutto bene tu,io io
