Truth,Decoded
Salve quanto costa quell articolo,e e a io
E in offerta costa dieci euro,io e e certo
Tutto bene grazie,un io
Prendiamo un caffe al bar,retr a io
"Certo volentieri, io lo prendero macchiato",io si a io
A che ora arriva il pullman,rtraeao
Dovrebbe arrivare tra qualche minuto,io e ora lo
Quanto costa il biglietto,io io pero
Purtroppo non lo so pero potresti chiedere all autista,tu io io io e erereao
Va bene grazie lo stesso,e io e io
Prego,io
Perfetto vorrei comprarne due.,io io
Certo ecco a lei vuole un sacchetto,e a ora io
Si grazie e arrivederci,io ararato
Le auguro una buona giornata,e si io
Buongiorno io sono Mario,io io
Buonasera io sono Mario,uareao
Piacere Luigi come stai,reori a io
Tutto bene tu,io io
