Truth,Decoded
Salve quanto costa quell articolo,e io io
E in offerta costa dieci euro,e a e io
Tutto bene grazie,io rato
Prendiamo un caffe al bar,euro io io
"Certo volentieri, io lo prendero macchiato",io io io
A che ora arriva il pullman,a io
Dovrebbe arrivare tra qualche minuto,io a a io
Quanto costa il biglietto,a io io
Purtroppo non lo so pero potresti chiedere all autista,io io io io le e io
Va bene grazie lo stesso,io io
Prego,io
Perfetto vorrei comprarne due.,pero tutto
Certo ecco a lei vuole un sacchetto,io a a a io
Si grazie e arrivederci,io rato
Le auguro una buona giornata,pero io
Buongiorno io sono Mario,io io
Buonasera io sono Mario,io certo
Piacere Luigi come stai,io io
Tutto bene tu,pero
