Truth,Decoded
Salve quanto costa quell articolo,pero io io io
E in offerta costa dieci euro,e e io
Tutto bene grazie,io certo
Prendiamo un caffe al bar,pero io rato
"Certo volentieri, io lo prendero macchiato",reori bene io
A che ora arriva il pullman,e al io
Dovrebbe arrivare tra qualche minuto,e a ora lo
Quanto costa il biglietto,io io io io
Purtroppo non lo so pero potresti chiedere all autista,pero io io le le che tutto
Va bene grazie lo stesso,e geaelo
Prego,io
Perfetto vorrei comprarne due.,preoreruito
Certo ecco a lei vuole un sacchetto,io a io io
Si grazie e arrivederci,due rato
Le auguro una buona giornata,puoauo certo
Buongiorno io sono Mario,io io
Buonasera io sono Mario,pero io
Piacere Luigi come stai,pero io
Tutto bene tu,pero
