Truth,Decoded
Salve quanto costa quell articolo,pero io io io io
E in offerta costa dieci euro,e e e sono
Tutto bene grazie,io certo
Prendiamo un caffe al bar,pero a io lo
"Certo volentieri, io lo prendero macchiato",io io a un mario
A che ora arriva il pullman,e al io
Dovrebbe arrivare tra qualche minuto,e e ora io
Quanto costa il biglietto,io io io gato
Purtroppo non lo so pero potresti chiedere all autista,io io io io le le che certo
Va bene grazie lo stesso,io greae lo
Prego,io
Perfetto vorrei comprarne due.,preore euro
Certo ecco a lei vuole un sacchetto,io a a a a io
Si grazie e arrivederci,due certo
Le auguro una buona giornata,puoao io io
Buongiorno io sono Mario,io io
Buonasera io sono Mario,pero e io
Piacere Luigi come stai,pueoe io
Tutto bene tu,puoeo
