Truth,Decoded
Salve quanto costa quell articolo,pero rato
E in offerta costa dieci euro,io a e a io
Tutto bene grazie,a e pero
Prendiamo un caffe al bar,io a io a io
"Certo volentieri, io lo prendero macchiato",io a e io
A che ora arriva il pullman,a a a io
Dovrebbe arrivare tra qualche minuto,io e raeo
Quanto costa il biglietto,io io io io
Purtroppo non lo so pero potresti chiedere all autista,ora io io lo e io
Va bene grazie lo stesso,io a a io
Prego,io
Perfetto vorrei comprarne due.,pero io
Certo ecco a lei vuole un sacchetto,io a rerae io
Si grazie e arrivederci,io rato
Le auguro una buona giornata,uoaeoeo
Buongiorno io sono Mario,ora
Buonasera io sono Mario,io pero
Piacere Luigi come stai,pero io
Tutto bene tu,certo
