Truth,Decoded
Salve quanto costa quell articolo,reorato
E in offerta costa dieci euro,io a certo
Tutto bene grazie,a pero
Prendiamo un caffe al bar,io io io
"Certo volentieri, io lo prendero macchiato",io a e io
A che ora arriva il pullman,a a a io
Dovrebbe arrivare tra qualche minuto,io raeraoa io
Quanto costa il biglietto,io io io
Purtroppo non lo so pero potresti chiedere all autista,io io si e io
Va bene grazie lo stesso,io io
Prego,io
Perfetto vorrei comprarne due.,certo
Certo ecco a lei vuole un sacchetto,io a raeo io
Si grazie e arrivederci,io rato
Le auguro una buona giornata,sono
Buongiorno io sono Mario,io
Buonasera io sono Mario,io io
Piacere Luigi come stai,sono
Tutto bene tu,io
