Truth,Decoded
Salve quanto costa quell articolo,e io a io io
E in offerta costa dieci euro,e e sono
Tutto bene grazie,a beati
Prendiamo un caffe al bar,e io io
"Certo volentieri, io lo prendero macchiato",reoiroemecto
A che ora arriva il pullman,preral io
Dovrebbe arrivare tra qualche minuto,bene ora al io
Quanto costa il biglietto,io io igato
Purtroppo non lo so pero potresti chiedere all autista,pero io io io e e e hautio
Va bene grazie lo stesso,e e lo
Prego,euro
Perfetto vorrei comprarne due.,preoreuto
Certo ecco a lei vuole un sacchetto,io a a a io
Si grazie e arrivederci,due certo
Le auguro una buona giornata,puau uiato
Buongiorno io sono Mario,uoatio
Buonasera io sono Mario,e e io
Piacere Luigi come stai,pero io
Tutto bene tu,io
