Truth,Decoded
Salve quanto costa quell articolo,e io io io io
E in offerta costa dieci euro,pero rerereto
Tutto bene grazie,io e rato
Prendiamo un caffe al bar,prego a e certo
"Certo volentieri, io lo prendero macchiato",pero io si certo
A che ora arriva il pullman,preral io
Dovrebbe arrivare tra qualche minuto,e e a a e io
Quanto costa il biglietto,retr io ireato
Purtroppo non lo so pero potresti chiedere all autista,ora io io io e ererireliate
Va bene grazie lo stesso,a io bene ririto
Prego,io
Perfetto vorrei comprarne due.,io certo
Certo ecco a lei vuole un sacchetto,e a a io
Si grazie e arrivederci,due e ararato
Le auguro una buona giornata,e si io io
Buongiorno io sono Mario,io io
Buonasera io sono Mario,uigieato
Piacere Luigi come stai,preori a a
Tutto bene tu,io io
