Truth,Decoded
Salve quanto costa quell articolo,va il tu si io areai
E in offerta costa dieci euro,pearity a bene
Tutto bene grazie,plalae asieaesi
Prendiamo un caffe al bar,bene si io aieagi
"Certo volentieri, io lo prendero macchiato",betneglu tu si laeieagi
A che ora arriva il pullman,pero si io aieagi
Dovrebbe arrivare tra qualche minuto,binlr si io bene plese
Quanto costa il biglietto,beanlrur io aieagi
Purtroppo non lo so pero potresti chiedere all autista,veaneglu tu io salve si
Va bene grazie lo stesso,beaneglue due io aielese
Prego,in il le asioagiw
Perfetto vorrei comprarne due.,veaegl tu si a arew
Certo ecco a lei vuole un sacchetto,bar a si riae aieagi
Si grazie e arrivederci,a a lo lo a a dieci
Le auguro una buona giornata,peaegt bene ora io dieci
Buongiorno io sono Mario,va le asieai
Buonasera io sono Mario,bene tu si aeieagi
Piacere Luigi come stai,e io si io areai
Tutto bene tu,beaegl a a le a ieaei
