Truth,Decoded
Salve quanto costa quell articolo,io a io io a
E in offerta costa dieci euro,reore e e io
Tutto bene grazie,io io
Prendiamo un caffe al bar,e a a io
"Certo volentieri, io lo prendero macchiato",io si e a io
A che ora arriva il pullman,io a io
Dovrebbe arrivare tra qualche minuto,io e ora a lo
Quanto costa il biglietto,io io io
Purtroppo non lo so pero potresti chiedere all autista,tu io io io e eriere
Va bene grazie lo stesso,e io bene io
Prego,io
Perfetto vorrei comprarne due.,sono
Certo ecco a lei vuole un sacchetto,e io bar io
Si grazie e arrivederci,io a rareato
Le auguro una buona giornata,io si io io
Buongiorno io sono Mario,io io io
Buonasera io sono Mario,rereao
Piacere Luigi come stai,ora io
Tutto bene tu,io io
