Truth,Decoded
Salve quanto costa quell articolo,e le a e in in
E in offerta costa dieci euro,place e a e si non
Tutto bene grazie,place le a a e sono
Prendiamo un caffe al bar,place bene in lo e in
"Certo volentieri, io lo prendero macchiato",seace gren in lo io again
A che ora arriva il pullman,place bene in lo ora again
Dovrebbe arrivare tra qualche minuto,lo le a lo bene please
Quanto costa il biglietto,setc white in lo e again
Purtroppo non lo so pero potresti chiedere all autista,e bene un e nige agie
Va bene grazie lo stesso,setce e io lo e sono
Prego,salve le io a io sono
Perfetto vorrei comprarne due.,seace bene in lo e sono
Certo ecco a lei vuole un sacchetto,setce bene a lo in again
Si grazie e arrivederci,stai e a e bene in
Le auguro una buona giornata,playe e a a io so
Buongiorno io sono Mario,setce bene a a io in
Buonasera io sono Mario,place white in lo io again
Piacere Luigi come stai,in gren io a io again
Tutto bene tu,setce e a lo e bene
