Truth,Decoded
Salve quanto costa quell articolo,e io io io io
E in offerta costa dieci euro,pero bene e e io
Tutto bene grazie,un io
Prendiamo un caffe al bar,prego a e io
"Certo volentieri, io lo prendero macchiato",pero io a certo
A che ora arriva il pullman,prerarae lo
Dovrebbe arrivare tra qualche minuto,e e e a certo
Quanto costa il biglietto,certo io io
Purtroppo non lo so pero potresti chiedere all autista,ora io io io e ererereluate
Va bene grazie lo stesso,e io regre certo
Prego,certo
Perfetto vorrei comprarne due.,io certo
Certo ecco a lei vuole un sacchetto,e a a io
Si grazie e arrivederci,e e arerato
Le auguro una buona giornata,e si io io
Buongiorno io sono Mario,io io
Buonasera io sono Mario,uerieato
Piacere Luigi come stai,preore a stai
Tutto bene tu,io bene
