Truth,Decoded
Salve quanto costa quell articolo,e io io si io
E in offerta costa dieci euro,e e so
Tutto bene grazie,a gato
Prendiamo un caffe al bar,e io io io
"Certo volentieri, io lo prendero macchiato",reori a e a io
A che ora arriva il pullman,e al io
Dovrebbe arrivare tra qualche minuto,e a e ora lo io
Quanto costa il biglietto,io io io rato
Purtroppo non lo so pero potresti chiedere all autista,pero io io io le lo e tutto
Va bene grazie lo stesso,e pero
Prego,io
Perfetto vorrei comprarne due.,preore io
Certo ecco a lei vuole un sacchetto,io a a io a io
Si grazie e arrivederci,un io
Le auguro una buona giornata,puauon io
Buongiorno io sono Mario,io io io
Buonasera io sono Mario,io io
Piacere Luigi come stai,pero io
Tutto bene tu,io
