Truth,Decoded
Salve quanto costa quell articolo,e e si io io
E in offerta costa dieci euro,io e e certo
Tutto bene grazie,io io
Prendiamo un caffe al bar,e a a io
"Certo volentieri, io lo prendero macchiato",io si e io
A che ora arriva il pullman,prtraeao
Dovrebbe arrivare tra qualche minuto,io e e lo
Quanto costa il biglietto,io io pero
Purtroppo non lo so pero potresti chiedere all autista,ora io io io e erereae
Va bene grazie lo stesso,e io e io
Prego,io
Perfetto vorrei comprarne due.,euro
Certo ecco a lei vuole un sacchetto,e a a io
Si grazie e arrivederci,io rarato
Le auguro una buona giornata,e si io
Buongiorno io sono Mario,io io
Buonasera io sono Mario,rereao
Piacere Luigi come stai,pero io e io
Tutto bene tu,io io
