Truth,Decoded
Salve quanto costa quell articolo,io io so si lo
E in offerta costa dieci euro,e e certo
Tutto bene grazie,a e stai
Prendiamo un caffe al bar,io io a
"Certo volentieri, io lo prendero macchiato",reoririro meomreto
A che ora arriva il pullman,e al io
Dovrebbe arrivare tra qualche minuto,e io e ora al io
Quanto costa il biglietto,certo io begrato
Purtroppo non lo so pero potresti chiedere all autista,pero io io io io le e che lo tutto
Va bene grazie lo stesso,e bene io
Prego,io
Perfetto vorrei comprarne due.,reore io
Certo ecco a lei vuole un sacchetto,io a a lo io
Si grazie e arrivederci,due mario
Le auguro una buona giornata,puauon certo
Buongiorno io sono Mario,io io io
Buonasera io sono Mario,io io
Piacere Luigi come stai,pero a
Tutto bene tu,a bene
