Truth,Decoded
Salve quanto costa quell articolo,io io a a a
E in offerta costa dieci euro,io io e e a
Tutto bene grazie,io io
Prendiamo un caffe al bar,io a a io
"Certo volentieri, io lo prendero macchiato",io si a io
A che ora arriva il pullman,bar a a io
Dovrebbe arrivare tra qualche minuto,io a si ora io
Quanto costa il biglietto,a io io
Purtroppo non lo so pero potresti chiedere all autista,tu io io io e si si io
Va bene grazie lo stesso,io io e a io
Prego,io
Perfetto vorrei comprarne due.,mario
Certo ecco a lei vuole un sacchetto,io a io io
Si grazie e arrivederci,io io a a rato
Le auguro una buona giornata,io a a io io
Buongiorno io sono Mario,io io
Buonasera io sono Mario,a rereao
Piacere Luigi come stai,sono a io
Tutto bene tu,io io
