Truth,Decoded
Salve quanto costa quell articolo,e io so io io
E in offerta costa dieci euro,e e sono
Tutto bene grazie,a certo
Prendiamo un caffe al bar,pero io io
"Certo volentieri, io lo prendero macchiato",lei iroeme io
A che ora arriva il pullman,e al io
Dovrebbe arrivare tra qualche minuto,bene ora al io
Quanto costa il biglietto,io io io gato
Purtroppo non lo so pero potresti chiedere all autista,pero io io io e e e a io
Va bene grazie lo stesso,a e lo
Prego,euro
Perfetto vorrei comprarne due.,preore euro
Certo ecco a lei vuole un sacchetto,io a a a a io
Si grazie e arrivederci,due certo
Le auguro una buona giornata,puauon io io
Buongiorno io sono Mario,io mario
Buonasera io sono Mario,io io
Piacere Luigi come stai,due e a
Tutto bene tu,io
