Truth,Decoded
Salve quanto costa quell articolo,reore io
E in offerta costa dieci euro,io a e io
Tutto bene grazie,io io
Prendiamo un caffe al bar,io io io
"Certo volentieri, io lo prendero macchiato",io si e io
A che ora arriva il pullman,a a io
Dovrebbe arrivare tra qualche minuto,io a ruaeuo
Quanto costa il biglietto,a io io
Purtroppo non lo so pero potresti chiedere all autista,pero io io e lo io
Va bene grazie lo stesso,io pero
Prego,io
Perfetto vorrei comprarne due.,pero io
Certo ecco a lei vuole un sacchetto,io a a io
Si grazie e arrivederci,a rato
Le auguro una buona giornata,puoalo io
Buongiorno io sono Mario,stai
Buonasera io sono Mario,io pero
Piacere Luigi come stai,mario
Tutto bene tu,tutto
