Truth,Decoded
Salve quanto costa quell articolo,io io so io io
E in offerta costa dieci euro,e e sono
Tutto bene grazie,a e a
Prendiamo un caffe al bar,pero io io
"Certo volentieri, io lo prendero macchiato",reoir come io
A che ora arriva il pullman,e al io
Dovrebbe arrivare tra qualche minuto,bene ora al io
Quanto costa il biglietto,io io igeato
Purtroppo non lo so pero potresti chiedere all autista,pero io io io io e e e lo autista
Va bene grazie lo stesso,a e lo
Prego,euro
Perfetto vorrei comprarne due.,preore io
Certo ecco a lei vuole un sacchetto,io a a a io
Si grazie e arrivederci,due certo
Le auguro una buona giornata,tu un io io
Buongiorno io sono Mario,io mario
Buonasera io sono Mario,io io
Piacere Luigi come stai,pero io a
Tutto bene tu,io
