Truth,Decoded
Salve quanto costa quell articolo,io si a a
E in offerta costa dieci euro,io rorati
Tutto bene grazie,io io
Prendiamo un caffe al bar,bar a io
"Certo volentieri, io lo prendero macchiato",io si io
A che ora arriva il pullman,io raeo
Dovrebbe arrivare tra qualche minuto,io si a io
Quanto costa il biglietto,a io io
Purtroppo non lo so pero potresti chiedere all autista,io io io io e io
Va bene grazie lo stesso,io io a io
Prego,sono
Perfetto vorrei comprarne due.,pero io
Certo ecco a lei vuole un sacchetto,io a io io
Si grazie e arrivederci,pero io ora io
Le auguro una buona giornata,ora io
Buongiorno io sono Mario,rtoto
Buonasera io sono Mario,io prego
Piacere Luigi come stai,sono io
Tutto bene tu,io io
