Truth,Decoded
Salve quanto costa quell articolo,un utosl lo articolo
E in offerta costa dieci euro,e bene costa decicuro
Tutto bene grazie,e bene grazie
Prendiamo un caffe al bar,prego e lo bar
"Certo volentieri, io lo prendero macchiato",lo e io io io credro machto
A che ora arriva il pullman,e mario a lo pullman
Dovrebbe arrivare tra qualche minuto,due rivre lo un e euro
Quanto costa il biglietto,utota lo biglietto
Purtroppo non lo so pero potresti chiedere all autista,prton lo so pero ora e che lo autista
Va bene grazie lo stesso,e grazie a stesso
Prego,prego
Perfetto vorrei comprarne due.,peretreo costa
Certo ecco a lei vuole un sacchetto,certo a a al un acheto
Si grazie e arrivederci,siare areri
Le auguro una buona giornata,lugun un giornata
Buongiorno io sono Mario,buona so sono mario
Buonasera io sono Mario,buairi io sono mario
Piacere Luigi come stai,prego lo a
Tutto bene tu,un bene tu
