Truth,Decoded
Salve quanto costa quell articolo,e lo so si il rihio
E in offerta costa dieci euro,prerere rehiuto
Tutto bene grazie,un e grazie
Prendiamo un caffe al bar,preiri io lo a
"Certo volentieri, io lo prendero macchiato",pero bene si machao
A che ora arriva il pullman,e a lmuae
Dovrebbe arrivare tra qualche minuto,bene riri arera le minuto
Quanto costa il biglietto,un si si begleto
Purtroppo non lo so pero potresti chiedere all autista,prego lo lo lo so so lei ehiere autista
Va bene grazie lo stesso,un e bene e prego
Prego,prego
Perfetto vorrei comprarne due.,prego come lo
Certo ecco a lei vuole un sacchetto,bene io a due lo so
Si grazie e arrivederci,e e e aririrei
Le auguro una buona giornata,a a mario a lo nata
Buongiorno io sono Mario,ruoioiato
Buonasera io sono Mario,uioaro
Piacere Luigi come stai,preoiri io stai
Tutto bene tu,tutto bene
