Truth,Decoded
Salve quanto costa quell articolo,bar lo lo stai il ricro
E in offerta costa dieci euro,perercroti drechiuto
Tutto bene grazie,un bene grazie
Prendiamo un caffe al bar,e a un e al bar
"Certo volentieri, io lo prendero macchiato",pero lo io io lo lo mactao
A che ora arriva il pullman,rerara un due
Dovrebbe arrivare tra qualche minuto,doereri e a e heinuo
Quanto costa il biglietto,un costa si biglietto
Purtroppo non lo so pero potresti chiedere all autista,buruoponon so so potresti hiere autista
Va bene grazie lo stesso,al lo e a e stesso
Prego,prego
Perfetto vorrei comprarne due.,prego lomia lo
Certo ecco a lei vuole un sacchetto,certo a un due a certo
Si grazie e arrivederci,si e e arivedei
Le auguro una buona giornata,e a euro un io giornata
Buongiorno io sono Mario,buonoroio io
Buonasera io sono Mario,buonsrio mario
Piacere Luigi come stai,piacere luigi io stai
Tutto bene tu,lo bene
