Truth,Decoded
Salve quanto costa quell articolo,un tutto un lo articolo
E in offerta costa dieci euro,le tra costa dieciceuro
Tutto bene grazie,tutto bene grazie
Prendiamo un caffe al bar,e lo un che lo bar
"Certo volentieri, io lo prendero macchiato",certo ceiei lo lo prendero macchiato
A che ora arriva il pullman,e arriva pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe rivre a le minuto
Quanto costa il biglietto,utntota io biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtoroponon lo so pero potredhie che lo autista
Va bene grazie lo stesso,va bene grazie le sono
Prego,prego
Perfetto vorrei comprarne due.,peretoero crocue
Certo ecco a lei vuole un sacchetto,certo lo e le vuole un acieto
Si grazie e arrivederci,si e arivedei
Le auguro una buona giornata,leaguro un un giornata
Buongiorno io sono Mario,buona lo sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piaereuigi io stai
Tutto bene tu,lo bene tu
