Truth,Decoded
Salve quanto costa quell articolo,prego e si lo
E in offerta costa dieci euro,rererere rehito
Tutto bene grazie,ueati
Prendiamo un caffe al bar,prego a e lo
"Certo volentieri, io lo prendero macchiato",prego e sicaha
A che ora arriva il pullman,prego due
Dovrebbe arrivare tra qualche minuto,e ora ora ralmute
Quanto costa il biglietto,tu io certo
Purtroppo non lo so pero potresti chiedere all autista,prego lo lo lo eoererierierelutia
Va bene grazie lo stesso,un bene a lo
Prego,pero
Perfetto vorrei comprarne due.,preireuto
Certo ecco a lei vuole un sacchetto,e a a un stai
Si grazie e arrivederci,e e e dieci
Le auguro una buona giornata,bar a io nata
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,puioai
Piacere Luigi come stai,preoriri lo e
Tutto bene tu,un bene
