Truth,Decoded
Salve quanto costa quell articolo,e lo e a io
E in offerta costa dieci euro,e e si so
Tutto bene grazie,e e gata
Prendiamo un caffe al bar,e e lo a
"Certo volentieri, io lo prendero macchiato",reoriro e certo
A che ora arriva il pullman,e ora lo lo
Dovrebbe arrivare tra qualche minuto,e e e ora al lo
Quanto costa il biglietto,lo io begrato
Purtroppo non lo so pero potresti chiedere all autista,prego lo lo lo e e che e autista
Va bene grazie lo stesso,e bene lo
Prego,lo
Perfetto vorrei comprarne due.,prendero lo
Certo ecco a lei vuole un sacchetto,lo a a lo io
Si grazie e arrivederci,due mario
Le auguro una buona giornata,pugu un ugnata
Buongiorno io sono Mario,lo lo io
Buonasera io sono Mario,lo lo
Piacere Luigi come stai,prego a
Tutto bene tu,un bene
