Truth,Decoded
Salve quanto costa quell articolo,e mario e e il rihio
E in offerta costa dieci euro,prerere rehiuto
Tutto bene grazie,e grazie
Prendiamo un caffe al bar,preiri e lo bar
"Certo volentieri, io lo prendero macchiato",prego io so che
A che ora arriva il pullman,ora a lmuae
Dovrebbe arrivare tra qualche minuto,e riria e a le bene
Quanto costa il biglietto,un si si begreto
Purtroppo non lo so pero potresti chiedere all autista,prego lo lo lo so so lei ehiere lo autista
Va bene grazie lo stesso,un e bene e rireso
Prego,prego
Perfetto vorrei comprarne due.,preoiomer lo
Certo ecco a lei vuole un sacchetto,e a a un so
Si grazie e arrivederci,e e aririreai
Le auguro una buona giornata,a a mario a lo nata
Buongiorno io sono Mario,buona io
Buonasera io sono Mario,puioario
Piacere Luigi come stai,preoiri io e
Tutto bene tu,tutto bene
