Truth,Decoded
Salve quanto costa quell articolo,bar lo so si il riheo
E in offerta costa dieci euro,prererori drechiuto
Tutto bene grazie,e grazie
Prendiamo un caffe al bar,e io a e al bar
"Certo volentieri, io lo prendero macchiato",pero io le lo michao
A che ora arriva il pullman,e arara lo lmuae
Dovrebbe arrivare tra qualche minuto,dereri e a e minuto
Quanto costa il biglietto,tuarsta si biglietto
Purtroppo non lo so pero potresti chiedere all autista,pero sono lo oesospreri shierelautista
Va bene grazie lo stesso,a lo e a rireso
Prego,prego
Perfetto vorrei comprarne due.,preoromr lo
Certo ecco a lei vuole un sacchetto,certo io e a certo
Si grazie e arrivederci,si e aririei
Le auguro una buona giornata,e euro lo io giornata
Buongiorno io sono Mario,buona io
Buonasera io sono Mario,buiomario
Piacere Luigi come stai,piereuiri io stai
Tutto bene tu,e bene
