Truth,Decoded
Salve quanto costa quell articolo,e a e a il io
E in offerta costa dieci euro,prerere rehuto
Tutto bene grazie,e grazie
Prendiamo un caffe al bar,e e a e lo bar
"Certo volentieri, io lo prendero macchiato",pero io e e mario
A che ora arriva il pullman,e ora lo due
Dovrebbe arrivare tra qualche minuto,pereri e a le minuto
Quanto costa il biglietto,un si e biegreto
Purtroppo non lo so pero potresti chiedere all autista,pero sono lo so so lei eriere autista
Va bene grazie lo stesso,un e e mario
Prego,prego
Perfetto vorrei comprarne due.,prego ora lo
Certo ecco a lei vuole un sacchetto,bene a a un sono
Si grazie e arrivederci,si e arirei
Le auguro una buona giornata,e euro lo linata
Buongiorno io sono Mario,buona io
Buonasera io sono Mario,buioario
Piacere Luigi come stai,pereuiri io e
Tutto bene tu,un bene
