Truth,Decoded
Salve quanto costa quell articolo,bar a so si il io
E in offerta costa dieci euro,prego lo drechuto
Tutto bene grazie,e grazie
Prendiamo un caffe al bar,e si si e lo bar
"Certo volentieri, io lo prendero macchiato",pero io io lo lo micar
A che ora arriva il pullman,e ora lo due
Dovrebbe arrivare tra qualche minuto,dereri e a le henuo
Quanto costa il biglietto,una si si biglietto
Purtroppo non lo so pero potresti chiedere all autista,euro sono lo lo so prego shiere autista
Va bene grazie lo stesso,a e bene a riteso
Prego,prego
Perfetto vorrei comprarne due.,pretir ora lo
Certo ecco a lei vuole un sacchetto,bene a io un a certo
Si grazie e arrivederci,siare e aririei
Le auguro una buona giornata,a e a euro lo lo inata
Buongiorno io sono Mario,buona lo
Buonasera io sono Mario,buniomario
Piacere Luigi come stai,piaereuiri io stai
Tutto bene tu,lo bene
