Truth,Decoded
Salve quanto costa quell articolo,un utota un aroclo
E in offerta costa dieci euro,e a costa dedicuro
Tutto bene grazie,un bene grazie
Prendiamo un caffe al bar,prego un e lo bar
"Certo volentieri, io lo prendero macchiato",certo oeieio lo prendero macchiato
A che ora arriva il pullman,e aralu un
Dovrebbe arrivare tra qualche minuto,doreb rivre a che minuto
Quanto costa il biglietto,utota si biglietto
Purtroppo non lo so pero potresti chiedere all autista,prtonon lo so peopotrehiehe lo autista
Va bene grazie lo stesso,e grazie e sono
Prego,prego
Perfetto vorrei comprarne due.,certo pero lo tutto
Certo ecco a lei vuole un sacchetto,certo e le le un scheto
Si grazie e arrivederci,siare arvei
Le auguro una buona giornata,euro un buona giornata
Buongiorno io sono Mario,buona lo non mario
Buonasera io sono Mario,buona io sono mario
Piacere Luigi come stai,piereigi lo si
Tutto bene tu,lo bene tu
