Truth,Decoded
Salve quanto costa quell articolo,un utota una articolo
E in offerta costa dieci euro,e io costa deciceuro
Tutto bene grazie,un bene grazie
Prendiamo un caffe al bar,prego un e lo bar
"Certo volentieri, io lo prendero macchiato",lo come io io lo cendro machto
A che ora arriva il pullman,a e a arriva lman
Dovrebbe arrivare tra qualche minuto,doreb rivre lo le minuto
Quanto costa il biglietto,untota lo biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtoronon lo so pero ora si che lo autista
Va bene grazie lo stesso,va grazie a sono
Prego,prego
Perfetto vorrei comprarne due.,peretoro lo lo minuto
Certo ecco a lei vuole un sacchetto,certo e le il un acheto
Si grazie e arrivederci,si e e arivedi
Le auguro una buona giornata,euro un un giornata
Buongiorno io sono Mario,buona lo un mario
Buonasera io sono Mario,bunaea io sono mario
Piacere Luigi come stai,piaereuigi io stai
Tutto bene tu,lo bene tu
