Truth,Decoded
Salve quanto costa quell articolo,e lo lo e e io
E in offerta costa dieci euro,preorere rehiuto
Tutto bene grazie,un e grazie
Prendiamo un caffe al bar,preiri a e lo
"Certo volentieri, io lo prendero macchiato",e io io siecha
A che ora arriva il pullman,retrai e
Dovrebbe arrivare tra qualche minuto,preirira arari le due
Quanto costa il biglietto,stai io e grito
Purtroppo non lo so pero potresti chiedere all autista,pruopo lo lo e so lei rire lo autista
Va bene grazie lo stesso,un a bene e riristo
Prego,prego
Perfetto vorrei comprarne due.,prego omnr lo
Certo ecco a lei vuole un sacchetto,e a a io lo
Si grazie e arrivederci,e e e aririrea
Le auguro una buona giornata,a a mario lo io inata
Buongiorno io sono Mario,pruoioiatio
Buonasera io sono Mario,un io
Piacere Luigi come stai,preora io
Tutto bene tu,certo bene
