Truth,Decoded
Salve quanto costa quell articolo,un utota una articolo
E in offerta costa dieci euro,e e costa decicuro
Tutto bene grazie,bene grazie
Prendiamo un caffe al bar,preaoun e lo bar
"Certo volentieri, io lo prendero macchiato",pero e io io lo credro machto
A che ora arriva il pullman,e ora a lo pullman
Dovrebbe arrivare tra qualche minuto,prego rivre lo le euro
Quanto costa il biglietto,untota lo biglietto
Purtroppo non lo so pero potresti chiedere all autista,prtoronon lo so pero ora e che lo autista
Va bene grazie lo stesso,e grazie a stesso
Prego,prego
Perfetto vorrei comprarne due.,peretoror cocuto
Certo ecco a lei vuole un sacchetto,certo e e le un acheto
Si grazie e arrivederci,siare ardri
Le auguro una buona giornata,lo un un giornata
Buongiorno io sono Mario,buona lo un mario
Buonasera io sono Mario,bunairi io sono mario
Piacere Luigi come stai,pireiro lo a
Tutto bene tu,lo bene tu
