Truth,Decoded
Salve quanto costa quell articolo,e e io si e io
E in offerta costa dieci euro,retre bene recheto
Tutto bene grazie,un e stai
Prendiamo un caffe al bar,e a a e raia
"Certo volentieri, io lo prendero macchiato",prego io e aechati
A che ora arriva il pullman,pretra e lo emuae
Dovrebbe arrivare tra qualche minuto,e e e a e e
Quanto costa il biglietto,prut lo irerato
Purtroppo non lo so pero potresti chiedere all autista,tu lo lo lo e erere riereluiate
Va bene grazie lo stesso,un lo bene e rereso
Prego,lo
Perfetto vorrei comprarne due.,reomer lo
Certo ecco a lei vuole un sacchetto,e a a e e a
Si grazie e arrivederci,e e aresecata
Le auguro una buona giornata,e e a e minuto
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,un io io
Piacere Luigi come stai,preori e e
Tutto bene tu,lo bene
