Truth,Decoded
Salve quanto costa quell articolo,e a so si si riheo
E in offerta costa dieci euro,prererie rehuto
Tutto bene grazie,bene grazie
Prendiamo un caffe al bar,preira e lo bar
"Certo volentieri, io lo prendero macchiato",prego io si micha
A che ora arriva il pullman,e a si lmuae
Dovrebbe arrivare tra qualche minuto,preririri e e due hemnuto
Quanto costa il biglietto,rutari si bierieto
Purtroppo non lo so pero potresti chiedere all autista,pruopono lo lo so lei ehiere autista
Va bene grazie lo stesso,un e bene e rireso
Prego,prego
Perfetto vorrei comprarne due.,preoiromr lo
Certo ecco a lei vuole un sacchetto,creoa auaue lo
Si grazie e arrivederci,pero e aririei
Le auguro una buona giornata,a a euro un a inata
Buongiorno io sono Mario,bruoio lo
Buonasera io sono Mario,puioario
Piacere Luigi come stai,preuiri io stai
Tutto bene tu,lo bene
