Truth,Decoded
Salve quanto costa quell articolo,e e so a lo
E in offerta costa dieci euro,e certo e sesicuto
Tutto bene grazie,e e a
Prendiamo un caffe al bar,prego lo a e bar
"Certo volentieri, io lo prendero macchiato",preoiro roeromechto
A che ora arriva il pullman,e ariaul lo
Dovrebbe arrivare tra qualche minuto,preororarl al e lo
Quanto costa il biglietto,lo io e greato
Purtroppo non lo so pero potresti chiedere all autista,prego lo lo lo e io e lo autista
Va bene grazie lo stesso,e e e sono
Prego,pero
Perfetto vorrei comprarne due.,prego lo
Certo ecco a lei vuole un sacchetto,certo a e e sono
Si grazie e arrivederci,pero lei
Le auguro una buona giornata,ugunun un gnata
Buongiorno io sono Mario,bene lo mario
Buonasera io sono Mario,due io lo mario
Piacere Luigi come stai,prego a
Tutto bene tu,un bene lo
