Truth,Decoded
Salve quanto costa quell articolo,a tutto un lo croclo
E in offerta costa dieci euro,le lo costa dieciceuro
Tutto bene grazie,un bene grazie
Prendiamo un caffe al bar,prego un e lo bar
"Certo volentieri, io lo prendero macchiato",certo coenieio lo prendero macchiato
A che ora arriva il pullman,a e a arriva pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe rivre a le minuto
Quanto costa il biglietto,utntota io biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtoroponon lo so pero potri che che lo autista
Va bene grazie lo stesso,va bene grazie lo sono
Prego,prego
Perfetto vorrei comprarne due.,peretoro lo cocuo
Certo ecco a lei vuole un sacchetto,certo lo a le vuole un sacchetto
Si grazie e arrivederci,si e e arivededi
Le auguro una buona giornata,euro un buona giornata
Buongiorno io sono Mario,buona io sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piaereuigi io stai
Tutto bene tu,tutto bene tu
