Truth,Decoded
Salve quanto costa quell articolo,e lo a si seilo
E in offerta costa dieci euro,reore e recreto
Tutto bene grazie,un stai
Prendiamo un caffe al bar,tra a lo
"Certo volentieri, io lo prendero macchiato",lei io saecato
A che ora arriva il pullman,pretra lo e
Dovrebbe arrivare tra qualche minuto,e e a a almuto
Quanto costa il biglietto,lo lo io certo
Purtroppo non lo so pero potresti chiedere all autista,prego lo lo lo lo rererireliae
Va bene grazie lo stesso,un lo e a rieso
Prego,lo
Perfetto vorrei comprarne due.,reomelto
Certo ecco a lei vuole un sacchetto,e a agut e lo
Si grazie e arrivederci,due arisiao
Le auguro una buona giornata,due e a lo io
Buongiorno io sono Mario,lo certo
Buonasera io sono Mario,io lo
Piacere Luigi come stai,preorori a stai
Tutto bene tu,lo lo
