Truth,Decoded
Salve quanto costa quell articolo,bar a so si il io
E in offerta costa dieci euro,prego ora irhiuto
Tutto bene grazie,un bene grazie
Prendiamo un caffe al bar,e e in e lo bar
"Certo volentieri, io lo prendero macchiato",pero io io io lo so michao
A che ora arriva il pullman,e a a lo lo le
Dovrebbe arrivare tra qualche minuto,dereri e a due minuto
Quanto costa il biglietto,un a si si biglietto
Purtroppo non lo so pero potresti chiedere all autista,euro lo lo lo so sono si ehiere autista
Va bene grazie lo stesso,a e bene e si stesso
Prego,prego
Perfetto vorrei comprarne due.,prego come lo
Certo ecco a lei vuole un sacchetto,bene io io due certo
Si grazie e arrivederci,si e e ariei
Le auguro una buona giornata,a e a euro un lo giornata
Buongiorno io sono Mario,buona io
Buonasera io sono Mario,buniriosomario
Piacere Luigi come stai,pereuigi io io e
Tutto bene tu,e bene lo
