Truth,Decoded
Salve quanto costa quell articolo,salve un so a il ricro
E in offerta costa dieci euro,perericroti drechiuto
Tutto bene grazie,bene grazie
Prendiamo un caffe al bar,e a un e al bar
"Certo volentieri, io lo prendero macchiato",pero lo io io lo clico minuto
A che ora arriva il pullman,e ora a una
Dovrebbe arrivare tra qualche minuto,doereri e a e certo
Quanto costa il biglietto,un costa si biglietto
Purtroppo non lo so pero potresti chiedere all autista,puruoponon so so predsti ehierelautista
Va bene grazie lo stesso,va lo lo e a si stesso
Prego,prego
Perfetto vorrei comprarne due.,paretio lo si lo
Certo ecco a lei vuole un sacchetto,certo a una due a certo
Si grazie e arrivederci,si e e e arivei
Le auguro una buona giornata,a e a euro un io giornata
Buongiorno io sono Mario,buonoieo lo
Buonasera io sono Mario,buonrio mario
Piacere Luigi come stai,piaereiuiri io io stai
Tutto bene tu,lo bneto
